test_name,data_shape,missing_pattern,missing_rate,noise_type,noise_level,execution_time,cells_per_sec,success,error,noisy_mse,noisy_mae,noisy_rmse,noisy_mape,noisy_correlation,noisy_residual_std,noisy_residual_mean,noisy_coverage_95,noisy_evaluable_points,use_fourier
Low Correlation Control [IterSVD(rank=5)],"(200, 10)",mcar,0.21,gaussian,0.1,0.0005600452423095703,3571140.05959983,True,,2.2325686443996933,0.9027862785923324,1.4941782505443229,192.62454449045293,0.7944857202711854,1.487921923262434,0.1365906097603816,0.9142857142857143,420,
Low Correlation Control [CenteredMA(w=9)],"(200, 10)",mcar,0.21,gaussian,0.1,0.0010061264038085938,1987821.8009478673,True,,0.1935278803080228,0.36178391371140906,0.43991803817077424,97.14183814282308,0.9838997688267608,0.4379767591731607,0.04128242643302254,0.9642857142857143,420,
Medium Correlation [MISSNET (autotune)],"(200, 10)",mcar,0.202,gaussian,0.1,1.861530065536499,1074.385011033165,True,,0.06359724620091811,0.20220380129417792,0.25218494443744677,33.29718568079679,0.9971565725338201,0.2521466633611277,0.004393899949735179,0.9579207920792079,404,
Medium Correlation [Mean],"(200, 10)",mcar,0.202,gaussian,0.1,3.981590270996094e-05,50231185.628742516,True,,5.774879515562558,1.7805109229812248,2.4030978997041625,250.9447331019181,0.6966397604379932,2.400436409509957,-0.1130688262144111,0.9282178217821783,404,
Medium Correlation [FFillBFill],"(200, 10)",mcar,0.202,gaussian,0.1,0.00036787986755371094,5436557.355800389,True,,0.302094354074339,0.4434164577645859,0.5496311072658997,83.54301302249698,0.9867516100132876,0.549319344188233,0.018509785923897498,0.9529702970297029,404,
Medium Correlation [LinearInterp],"(200, 10)",mcar,0.202,gaussian,0.1,0.0005700588226318359,3508409.8703471352,True,,0.11062029078437761,0.2688291832435091,0.3325962879894747,46.081311812346684,0.9950636230357623,0.3321686230064978,-0.016861099440568985,0.9529702970297029,404,
Medium Correlation [Spline(k=3)],"(200, 10)",mcar,0.202,gaussian,0.1,0.022680997848510742,88179.54189486077,True,,0.1556870012628239,0.28908451431414495,0.39457192153373494,62.632577030297455,0.9932164058397358,0.39412582089003173,0.01875736043750639,0.9579207920792079,404,
"Medium Correlation [SavGol(11,3)]","(200, 10)",mcar,0.202,gaussian,0.1,0.0004169940948486328,4796230.989136649,True,,0.1530362865057407,0.3193395857475049,0.3911985256947432,60.49613805655455,0.9931554471805434,0.39110375697699495,-0.008610330087772872,0.9653465346534653,404,
Medium Correlation [Fourier(K=6)],"(200, 10)",mcar,0.202,gaussian,0.1,0.0007159709930419922,2793409.2574092573,True,,1.026041141883195,0.7524200223267548,1.0129368893880777,111.58398847698037,0.9533417871396684,1.0094577445691497,-0.08388208278625571,0.9628712871287128,404,
Medium Correlation [KNN(k=5)],"(200, 10)",mcar,0.202,gaussian,0.1,0.002393007278442383,835768.4567101724,True,,0.25377250133282364,0.33555893783181107,0.503758375943094,52.7423580261415,0.9890285191124841,0.5035101038271251,0.01581381284894082,0.9579207920792079,404,
Medium Correlation [IterSVD(rank=5)],"(200, 10)",mcar,0.202,gaussian,0.1,0.0005409717559814453,3697050.6831203173,True,,3.9914302549092677,1.2474452832968654,1.9978564149881413,164.4953673089591,0.8041336163995995,1.9974433017361741,0.04062648469358167,0.8985148514851485,404,
Medium Correlation [CenteredMA(w=9)],"(200, 10)",mcar,0.202,gaussian,0.1,0.0007059574127197266,2833032.083755488,True,,0.34889742705884597,0.49402532849959674,0.5906753990635177,79.94697685597308,0.9843348621560171,0.5900278186771051,-0.027651405859072324,0.9653465346534653,404,
Quick Fourier [No Fourier],"(50, 5)",mcar,0.208,gaussian,0.1,0.13580799102783203,1840.8342403707734,True,,0.04841522734881446,0.18116201101061674,0.22003460488935475,74.93109457544548,0.9630278391832199,0.21918935346949184,-0.01926797016918565,0.9615384615384616,52,False
Quick Fourier [With Fourier],"(50, 5)",mcar,0.208,gaussian,0.1,0.15137410163879395,1651.5374644240355,True,,0.09732015436437627,0.22459019119995977,0.3119617834998003,66.57165644435857,0.9245868228957489,0.3116474364093861,-0.014001062239485109,0.9230769230769231,52,True
